16472441880783460288,0,exact,1
9141996867200042944,-98,high,1
8240225459413221312,-98,high,1
7707061227996529600,-98,high,1
11726524175744592832,-98,high,1
7167082759210238400,-100,high,1
9303051448088451456,-100,high,1
11662973294720108416,0,exact,2
1703784592799471168,97,low,1
5525102534483714624,97,low,2
2754451649736983104,97,low,1
15985775860513890880,97,low,2
1921130301769527872,99,low,1
16937943694550180416,99,low,2
10553496965829533248,99,low,1
12865346202041509440,99,low,2
14206920880261572672,100,low,1
16561555395746091072,100,low,2
7593956185869664320,100,low,1
11008404092772503616,100,low,2
17057554253617118784,0,exact,3
14546144321836530560,-98,high,1
14700614946674833984,-196,high,1
3607553335050972736,1000000,exact,1
16334473950562447936,1000000,high,1
16354620128500922944,1000000,high,1
16946439645242306624,1000000,high,1
13929818090682943488,-197,high,1
17869912366871221760,1000000,exact,2
8161397866345408000,-1,high,1
14224491379510892160,-3,high,1
8992080449942005888,1000000,low,1
16603205744590272640,1000000,low,2
12150058696567635072,0,high,1
8462211818944897152,-96,high,1
2372165488432410752,0,high,1
16503229114632170624,98,exact,1
11455449157306859136,200,exact,1
16343237044606161024,100,high,1
939246970591982528,1,high,1
12132567989654970048,200,exact,2
9335030144668761536,1,exact,1
832612512466379712,2,exact,1
13062270405802530752,202,low,1
12281858886653506752,202,low,2
11187380386526717888,0,high,1
1243899417955219904,2,exact,1
13200080990662063552,202,low,1
4104180355239828928,202,low,2
17247923175170500544,1,exact,1
10740742066106662848,2,exact,1
17080807958501598656,1000000,low,1
8623019420104996288,1000000,low,2
9495710759382416832,1,exact,1
13044004415538268096,3,exact,1
10784330646656286144,1000000,low,1
1083544224098315712,1000000,low,2
9134975302308223936,200,exact,3
2795536254353300992,-98,high,1
6273620939605978048,1000000,exact,1
13323101078441025472,-196,high,1
16870851561071213504,1000000,high,1
7081151398785055680,1000000,high,1
16402992245618817472,-197,high,1
4747535313476274560,1000000,high,1
11967560743434764160,1000000,exact,2
907096085965140864,1,high,1
12337329127696037760,1,high,1
17808419729501400960,2,high,1
4134855921311263104,200,high,1
14084178148666460032,100,high,1
9980996405765694848,1,high,1
7906181572071100864,100,high,1
5582288892916109248,200,high,2
14032275099649255360,200,high,3
16487848908335782400,-99,high,1
13303089296404733888,100,high,1
3104330420441040832,1000000,exact,1
6940964116371847616,-198,high,1
1843589775576612288,-197,high,1
2549678129464519616,-198,high,1
4193502959205519232,1000000,high,1
908700074663547264,1000000,exact,2
14724452049300316544,1,high,1
15052734155500040576,0,high,1
13846471120208305024,200,high,1
17951340711272614784,0,high,1
5244997473653780352,1,high,1
13415939536281311616,0,high,1
13975671523482925504,97,high,1
16227506709003495360,200,high,2
1194927830201726912,200,high,3
15593994715243460864,-99,high,1
12228156972888313024,1000000,exact,1
6952810077884575680,1000000,high,1
13662018109461186752,-197,high,1
5927416603784276928,-198,high,1
11884440725521328576,1000000,high,1
9495902283032799872,-198,high,1
7223716561994603648,1000000,exact,2
5466110184300716928,1,high,1
7574040409773118592,1,high,1
1384172179758390144,100,high,1
486677525411323008,1,high,1
2380908116406083456,0,high,1
2285075884053364096,98,high,1
17330131185532624576,0,high,1
13494591959868391616,100,high,2
5395585290100363456,100,high,3
3373225538608539136,-99,high,1
10339745614621032128,99,high,1
1945775430932894912,-197,high,1
7182097862538086848,-198,high,1
6077412665407145152,98,high,1
